#mOTU	consensus_taxonomy	S_Normal_025_008M	S_Normal_025_17M	S_Normal_025_34M	S_Normal_025_068M	S_Normal_025_102M	S_Normal_050_008M	S_Normal_050_17M	S_Normal_050_34M	S_Normal_050_068M	S_Normal_050_102M	S_Normal_100_008M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_068M	S_Normal_400_102M
ref_mOTU_v3_01733	Xanthomonas oryzae	0	0	0	0	0	0	0	0	0	0	0	0.008139394	0	0	0	0	0	0	0	0.001650446	0.006291183	0	0	0	0	0.00140759	0	0	0	0.00135656
ref_mOTU_v3_04066	Azotobacter chroococcum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001145052	0	0.010529948	0	0	0	0	0	0	0	0	0.001181545	0	0
ref_mOTU_v3_03841	Azotobacter vinelandii	0	0	0	0	0	0.018686162	0	0	0	0	0	0	0	0	0	0.00702675	0	0	0	0	0	0	0.006732885	0	0	0	0	0	0	0.000872223
ref_mOTU_v3_01190	Bradyrhizobium japonicum [Bradyrhizobium japonicum/Bradyrhizobium sp.]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005013666	0.009175094	0	0.00445445	0	0	0	0	0.000809191	0	0	0.000861855	0.001050182
ref_mOTU_v3_00933	Neorhizobium galegae	0.008787571	0	0	0	0	0	0	0.012537324	0	0	0	0	0	0	0	0	0.014717191	0	0.007123263	0	0	0	0	0	0	0	0	0.002103827	0.003285284	0
ref_mOTU_v3_03333	Methylococcus capsulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000571554	0	0.004532072	0	0	0	0	0	0	0	0.003455558	0	0.001860609	0	0.001156199
ref_mOTU_v3_06301	Acetobacter aceti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004374743	0	0	0	0	0.001687332	0	0.000904728	0	0	0.010422285	0	0	0.001424982	0.002778619	0
ref_mOTU_v3_00820	Acetobacter pasteurianus	0	0.036914678	0	0	0	0	0	0	0	0	0	0	0	0	0.003586311	0	0.036029231	0	0.014841521	0	0.003869098	0.001989379	0	0	0	0.000958812	0	0	0	0.002326629
ref_mOTU_v3_03874	Gluconobacter oxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001959359	0	0	0	0	0.001205654	0	0	0	0	0.006687608	0.001496588	0.001039583
ref_mOTU_v3_01699	Legionella pneumophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004264335	0.00212062	0	0	0	0	0	0	0.000337041	0	0.005280116
ref_mOTU_v3_04304	Legionella longbeachae	0	0	0	0	0	0	0	0	0.000514634	0	0	0.00455613	0	0	0	0	0	0.001081533	0	0	0	0	0	0	0.005053687	0.002177967	0	0.002876239	0	0
ref_mOTU_v3_06311	Tatlockia micdadei	0	0	0	0	0	0	0	0	0	0	0.025734686	0	0	0	0	0	0	0	0	0	0	0.003698367	0	0.014705361	0	0.000802522	0.000708422	0.000610032	0	0
ref_mOTU_v3_11445	Neisseria cinerea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-05	0	0	0	0	0	0	0	0	0	0.000476283	0	0.000259371	0	0	0
ref_mOTU_v3_04797	Neisseria flavescens [Neisseria sp. HMSC064D07/Neisseria flavescens]	0	0	0	0	0	0	0	0	0	0.001187695	0	0.000857415	0	0.000107233	0.000247589	0	0	0	0	0	0	0	0.000226914	0	0.000359152	0	0	0	0.000352414	0
ref_mOTU_v3_01538	Neisseria gonorrhoeae	0	0	0	0	0	0.008848955	0	0	0	0	0	0	0	0	0.021054065	0	0	0.005283668	0.000944482	0	0	0	0.00139685	0	0.000149356	0.003643864	0.006377269	0.00027385	0	0
ref_mOTU_v3_01534	Neisseria lactamica	0	0	0	0	0	0	0	0	0	0	0	0	0.002929435	0.023734452	0	0	0.017046137	0	0.000916422	0.01254233	0	0.011420506	0	0.038978532	0.000185369	0	0.000549565	0	0.002549235	0.001159922
ref_mOTU_v3_01535	Neisseria lactamica	0	0	0	0	0	0	0	0	0	0.000547864	0	0.00028692	0	0	4.60E-05	0	0	0	0	0	0	0	0	0	0.000579602	0	0.000435482	0	0.000259058	0
ref_mOTU_v3_01539	Neisseria meningitidis [Neisseria sp. HMSC070F02/Neisseria meningitidis]	0	0	0	0	0	0	0	0	0	0.009475498	0	0.008455725	0	0.005457198	0.001300877	0	0	0	0.000424951	0.003086107	0	0.005970576	0.002896896	0.018782874	0.003437659	0.000828509	0.003723677	0	0.000723543	0.00055686
ref_mOTU_v3_01537	Neisseria polysaccharea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164744	0	0	0	0	0
ref_mOTU_v3_01499	Neisseria sicca	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302929	0	0	0	0	0	0.000171656	0	0	0	0	0	0	0	0	0.000221245	0
ref_mOTU_v3_11339	Neisseria canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006657514	0	0.007675241	0	0	0	0	0	0	0.016947504	0	0.002695968	0	0	0.000548987	0	0
ref_mOTU_v3_10870	Thermomicrobium roseum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132598	0	0	0	0	0	0.001149095	0	0
ref_mOTU_v3_02715	Kingella kingae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009471553	0	0	0	0	0	0	0.005668189	0	0	0	0	0	0	0	0.000600158	0.005541186
ref_mOTU_v3_00558	Bordetella pertussis	0	0	0	0	0	0	0	0.007272696	0	0	0	0	0	0.005973588	0.020313386	0.010647439	0	0.00109091	0	0	0	0	0	0	0	0	0.000575504	0	0	0.002123577
ref_mOTU_v3_00553	Bordetella avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047764874	0.000785703	0	0	0	0	0	0.004755199	0	0	0	0.001068706	0	0	0	0.003693077
ref_mOTU_v3_11098	Beijerinckia indica	0	0	0	0	0	0	0	0	0	0	0	0.008338396	0	0	0	0	0	0	0.013283405	0	0.001631917	0	0	0	0	0	0	0	0	0.002969465
ref_mOTU_v3_00397	Chromobacterium violaceum	0	0	0	0	0	0	0	0	0.018704024	0	0	0	0	0	0	0	0	0	0.005829458	0	0.004126421	0.001262906	0	0.016847853	0	0.00260222	0.001415319	0.001960846	0.000553717	0
ref_mOTU_v3_02976	Zymomonas mobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001747648	0	0	0.00769158	0.029122737	0.000455802	0	0	0.00643238	0	0	0.003951707	0
ref_mOTU_v3_00923	Erwinia amylovora	0	0	0	0	0	0	0	0	0.014478089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000432127	0	0.002027256	0	0.000713367
ref_mOTU_v3_00095	Escherichia coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.42E-05
ref_mOTU_v3_06400	Shimwellia blattae	0	0	0	0.021385105	0	0	0	0	0	0	0	0	0	0	0	0.001495761	0	0	0.001622606	0.001764004	0	0.001243705	0	0.003074006	0	0.00272574	0	0	0.00301444	0
ref_mOTU_v3_04009	Xenorhabdus nematophila	0	0	0	0	0	0	0	0	0.013367001	0	0	0	0	0	0	0	0	0	0	0.000320566	0	0	0	0	0	0.001903534	0	0	0	0.001654349
ref_mOTU_v3_01093	Yersinia enterocolitica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115145
ref_mOTU_v3_01749	Aliivibrio fischeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004393592	0	0	0	0.005559598	0	0	0.001673342	0	0	0.000306414	0	0	0	0.001931698	0	0
ref_mOTU_v3_07121	Vibrio cincinnatiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000331274	0	0	0	0	0	0	0	0	0	0	0.001189575	0.001201427	0	0.009335872
ref_mOTU_v3_01076	Aggregatibacter actinomycetemcomitans	0	0	0	0	0	0	0.071113176	0	0	0	0	0	0	0	0	0.013122455	0	0	0	0	0	0	0	0	0	0.002591629	0	0	0.001028922	0
ref_mOTU_v3_03785	Avibacterium paragallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005344342	0	0	0	0	0.001099254	0	0.001192883	0.003837451	0	0.000788017	0
ref_mOTU_v3_06058	Histophilus somni	0	0	0	0	0	0	0.015961521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003620944	0.002457732	0.004138388	0.004515972	0	0	0	0.000237884
ref_mOTU_v3_04048	Aggregatibacter aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000689732	0	0	0.00041278
ref_mOTU_v3_02035	Glaesserella parasuis	0	0	0	0.009155968	0	0	0	0	0	0	0	0	0	0	0.002644139	0	0	0	0	0	0.002422754	0	0.055558941	0	0.005078314	0.001112159	0	0	0	0
ref_mOTU_v3_04049	Aggregatibacter segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002919376	0	0	0	0	0.005195337	0	0	0
ref_mOTU_v3_00798	Gallibacterium anatis	0	0	0	0	0	0	0	0	0	0	0	0.006203047	0	0	0	0	0.003148664	0	0	0	0.002631802	0	0	0.000400441	0	0.00168764	0	0	0	0.004130041
ref_mOTU_v3_03997	Pasteurella dagmatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00587186	0	0	0	0	0	0.003076236	0.001934009	0
ref_mOTU_v3_00573	Anaplasma marginale	0	0	0	0	0	0.009153434	0	0	0	0.021601198	0	0	0.00722831	0	0	0	0.001323803	0.005606928	0.002337004	0	0	0	0.003043429	0	0	0	0.002334833	0.003680642	0.000700903	0
ref_mOTU_v3_03114	Bartonella bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000755007	0.002834582	0.007276561	0	0	0	0.001560842	0	0.004599086	0	0	0.000630795	0	0	0.012999334
ref_mOTU_v3_03011	Coxiella burnetii	0	0	0	0	0	0	0	0	0	0	0	0	0.005802906	0	0	0	0	0	0	0.001429639	0	0	0.002962246	0	0	0.006808149	0.000460131	0	0.000188017	0.002423473
ref_mOTU_v3_06103	Ehrlichia ruminantium	0	0	0	0	0	0	0	0	0	0	0	0.011957362	0	0.002821342	0	0	0	0	0	0	0	0.000585987	0	0.001570375	0	0.001913884	0	0.003671025	0.001674683	0
ref_mOTU_v3_00756	Rickettsia prowazekii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000416123	0	0	0	0.001442501
ref_mOTU_v3_04159	Orientia tsutsugamushi	0	0	0	0	0	0	0	0.005023093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00199748	0	0.012874566	0	0	0.001345382	0.00155013
ref_mOTU_v3_00755	Rickettsia typhi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009771538	0.005804934	0.000983937	0	0.001756955	0	0	0.013066184	0	0.005602638	0	0.006951936	0	0	0.001472617	0.004447754
ref_mOTU_v3_01009	Rickettsia akari	0	0	0	0	0	0	0	0	0	0.01139813	0	0	0	0	0	0.001763945	0	0	0	0.004641372	0.002104193	0	0.019349199	0.002755315	0	0	0	0.003166415	0.001161284	0.001117802
ref_mOTU_v3_01008	Rickettsia australis	0	0	0	0	0.017773492	0	0	0	0	0	0	0	0	0.004622664	0	0.000688228	0	0	0	0	0	0	0	0	0	0	0	0	0.005859444	0
ref_mOTU_v3_01007	Rickettsia canadensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002985254	0	0	0	0	0	0	0.002942245	0.001635042	0	0.001962515	0.001572897
ref_mOTU_v3_02581	Bartonella quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002092537	0.001292905	0	0.002482732	0	0	0	0	0.002578513	0	0	0	0	0
ref_mOTU_v3_00850	Chlamydia trachomatis	0	0	0	0	0	0	0.022810778	0	0	0	0	0	0	0	0	0.003044694	0	0	0	0	0	0	0.002326873	0.023293588	0	0	0	0	0.001637245	0.015271874
ref_mOTU_v3_11411	Sebaldella termitidis	0	0	0	0	0	0	0	0	0	0	0.038467275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169859	0.000571166	0	0.000568628	0
ref_mOTU_v3_05981	Fibrobacter succinogenes [Fibrobacter sp. UWB13/Fibrobacter sp. UWB7/Fibrobacter succinogenes]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001770371	0.011773911	0	0	0	0
ref_mOTU_v3_00985	Porphyromonas gingivalis	0	0	0	0	0	0	0	0	0	0.01182066	0	0	0	0.004842204	0	0.008537018	0	0	0	0	0.004707872	0	0	0	0	0.000675152	0.002292299	0.002625651	0	0.007850968
ref_mOTU_v3_06110	Faecalibacterium prausnitzii [uncultured Faecalibacterium sp./Faecalibacterium prausnitzii]	0	0	0	0	0	0	0.005340024	0	0	0	0	0	0	0	0	0	0	0.004777963	0	0	0	0.001335691	0	0	0	0.000856651	0.001419759	0.000880239	0	0.012181721
ref_mOTU_v3_06215	Syntrophomonas wolfei	0	0	0	0	0	0.004761659	0	0	0	0.047035957	0	0.009870095	0	0	0	0	0	0	0	0	0.001302663	0	0	0	0	0.000407986	0.00069677	0	0.000395312	0.001126007
ref_mOTU_v3_06100	Dichelobacter nodosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238151	0.002392636	0	0	0	0.003236288	0.00340094	0	0.003661461	0.001102256	0.001783706	0.000763598	0.00031313
ref_mOTU_v3_02220	Desulfovibrio africanus	0	0	0	0	0	0	0	0	0	0	0.006787853	0	0.000922597	0	0	0	0	0	0	0	0	0	0.000718447	0	0	0	0.000347598	0	0	0
