#mOTU	consensus_taxonomy	S_Normal_025_008M	S_Normal_025_17M	S_Normal_025_34M	S_Normal_025_068M	S_Normal_025_102M	S_Normal_050_008M	S_Normal_050_17M	S_Normal_050_34M	S_Normal_050_068M	S_Normal_050_102M	S_Normal_100_008M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_068M	S_Normal_400_102M
ref_mOTU_v3_11670	Marivirga tractuosa	0.028969947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004940597	0	0.000682159	0	0.002710588	0.000741224
ref_mOTU_v3_11466	Capnocytophaga gingivalis	0.015780035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186668	0	0	0	0	0	0	0.012497573	0	0	0	0.003799617	0	0.000877715	0
ref_mOTU_v3_00892	Capnocytophaga ochracea [Capnocytophaga ochracea/Capnocytophaga sp. oral taxon 323/Capnocytophaga sp. oral taxon 324/Capnocytophaga sp. oral taxon 335/Capnocytophaga sp. oral taxon 336/Capnocytophaga sp. oral taxon 380/Capnocytophaga sp. oral taxon 412]	0	0	0	0	7.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35E-05	0	0	0	0	0	8.31E-05	0	0	0	0
ref_mOTU_v3_01074	Capnocytophaga sputigena	0	0	0	0	0.001924448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000712564	0	0.001239769	0	0	0	0.003034854	0.001536333	0.000845389	0	0
ref_mOTU_v3_11523	Allochromatium vinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001587032	0	0.064408505	0	0	0.003763009	0	0	0	0	0	0
ref_mOTU_v3_10985	Halorhodospira halophila	0	0	0	0	0	0	0	0	0	0	0.0013343	0.004713742	0	0	0	0	0	0.001050613	0	0	0	0.028877207	0	0	0	0	0	0	0	0
ref_mOTU_v3_06407	Rhodomicrobium vannielii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028045507	0	0	0.011591208	0.002432432	0	0	0.000649151	0.001155447	0.004048281	0.000392387	0
ref_mOTU_v3_01687	Blastochloris viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000419456	0	0	0	0	0.001753179	0	0	0.001100492
ref_mOTU_v3_07196	Pararhodospirillum photometricum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004002997	0.009051671	0.002076554	0	0	0	0.00502463	0.001259128	0	0	0	0	0.002049609	0
ref_mOTU_v3_01107	Rhodospirillum rubrum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001921257	0.010258706	0	0	0	0	0	0.005115349	0	0	0	0.002948443	0.003003517	0.000899608	0
ref_mOTU_v3_01798	Chlorobium limicola	0	0	0	0	0	0	0	0.008313321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v3_10790	Leptolyngbya boryana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222424	0.001361214	0	0	0	0	0	0.00046555	0	0.002422052	0	0	0.002134608	0	0
ref_mOTU_v3_06202	Nitrosococcus oceani	0	0	0	0	0	0	0	0	0	0	0	0.024667933	0	0.01905002	0	0	0	0.002734887	0	0	0.001585061	0	0	0	0	0.001068724	0.002035902	0.001729445	0	0
ref_mOTU_v3_03420	Nitrosospira multiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003069013	0	0.000912957	0	0	0	0	0.000298188
ref_mOTU_v3_02819	Leuconostoc gelidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135238	0	0	0	0	0.003746646	0	0	0.003793235	0.011218174	0.004166836
ref_mOTU_v3_02338	Oenococcus oeni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003208038	0.0032518	0	0	0	0	0	0	0	0	0	0.00058367	0.001571982	0	0
ref_mOTU_v3_05088	Weissella paramesenteroides	0	0	0	0	0	0	0	0	0.017586503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007797163	0	0	0	0.005754558	0
ref_mOTU_v3_07469	Leuconostoc carnosum	0	0	0	0	0	0	0	0	0	0	0.005687655	0	0	0	0	0	0.006193538	0	0	0	0	0	0.01605098	0	0	0	0.001700911	0	0	0.001826565
ref_mOTU_v3_00720	Pediococcus acidilactici	0	0	0	0	0	0	0.02111161	0	0	0	0	0	0.008040894	0	0	0	0	0	0	0	0	0.002196553	0	0	0	0	0.006844187	0	0.000815825	0
ref_mOTU_v3_03843	Staphylococcus hyicus	0	0	0	0	0	0	0	0	0	0	0	0.011059536	0	0	0	0	0.002035829	0	0	0	0	0	0	0	0.005665366	0	0.000259338	0	0.00198234	0
ref_mOTU_v3_02207	Deinococcus radiodurans	0	0	0	0	0	0	0	0	0	0	0.001707599	0	0	0	0.012130517	0	0	0	0	0	0	0	0	0.002008917	0	0	0.000759896	0.000723057	0	0
ref_mOTU_v3_00292	Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002043807	0	0	0	0	0	0	0.000857948	0	0.000326025	3.85E-05	0.001393429	0	0
ref_mOTU_v3_00296	Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000755986	0	0	0	0	0	0	0.000357524	0	0.000254873	0	0.000661195	0	0
ref_mOTU_v3_00290	Streptococcus oralis [Streptococcus sp. BS35b/Streptococcus sp. BS21/Streptococcus sp. BS29a/Streptococcus sp. SR1/Streptococcus oralis/Streptococcus sp. CM6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000398984	0	0	0	0	0	0	0.000182455	0	0.000244518	0	0.000097736	0	0
ref_mOTU_v3_00288	Streptococcus oralis [Streptococcus oralis/Streptococcus sp. oral taxon 071/Streptococcus sp. F0441]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015132	0	0	0	0	0	0	7.22E-05	0	0	0	8.77E-05	0	0
ref_mOTU_v3_00289	Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93E-05	0	0	0	0	0	0	4.35E-05	0	0	0	0.00010497	0	0
ref_mOTU_v3_00287	Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.65E-05	0	0	0	0	0	0	2.19E-05	0	0	0	7.01E-05	0	0
ref_mOTU_v3_00297	Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000090304	0	0	0	7.01E-05	0	0
ref_mOTU_v3_00796	Streptococcus suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000654039	0	0	0	0	0	0	0.013083075	0	0	0.001031398	0	0	0	0
ref_mOTU_v3_01605	Streptococcus mutans	0	0	0	0	0	0	0	0	0	0	0	0.005820187	0	0	0	0	0.000570058	0	0	0	0	0	0	0	0	0	0	0.0063766	0	0.007427285
ref_mOTU_v3_01604	Streptococcus sobrinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00646253	0	0	0	0	0	0	0	0	0	0.000530146	0	0.000298963	0
ref_mOTU_v3_00282	Streptococcus pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.24E-05	0	0	0	0.00014877	0	0
ref_mOTU_v3_00315	Streptococcus pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001269083	0	0	0.004698814	0	0	0	0	0	0	0.001556833	0	0	0	0	0.000567043
ref_mOTU_v3_00312	Streptococcus parasanguinis [Streptococcus sp. HSISM1/Streptococcus parasanguinis/Streptococcus sp. HMSC074F05/Streptococcus sp. HMSC057G03/Streptococcus sp. HMSC076C09/Streptococcus sp. HMSC073D05/Streptococcus sp. HMSC072C09/Streptococcus sp. HMSC072G04/Streptococcus sp. HMSC061E03/Streptococcus sp. HMSC065C01/Streptococcus sp. HMSC078D09/Streptococcus sp. HMSC065E03]	0	0	0	0	0	0	0	0.026120133	0	0	0	0	0	0	0	0.004672495	0	0	0	0	0	0	0.000696418	0	0.001404727	0	0	0	0.000264357	0.002953406
ref_mOTU_v3_00317	Streptococcus canis	0	0	0.024242302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026993011	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v3_06240	Streptococcus porcinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000553938	0.000531484	0	0	0	0	0	0.002153789	0	0	0	0.003112396	0
ref_mOTU_v3_07080	Streptococcus ferus	0	0	0	0	0	0.011568748	0	0	0	0	0	0	0	0	0	0.010123201	0	0	0.000757054	0.004615733	0	0	0	0	0	0.00077691	0	0	0.003000545	0
ref_mOTU_v3_03573	Streptococcus iniae	0	0	0	0	0	0.004775516	0	0	0	0	0	0.003268008	0.002796613	0	0	0	0	0	0.00470371	0	0	0	0.009880619	0	0.000269496	0.000826126	0.001700992	0.001713304	0	0.001255101
ref_mOTU_v3_03117	Streptococcus parauberis	0	0.051788521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000435482	0.002781506	0	0.002036199
ref_mOTU_v3_04194	Gemella haemolysans	0	0	0	0	0	0	0.008450542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001380201	0.00251565	0.002073395	0
ref_mOTU_v3_02983	Virgibacillus halodenitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0.006588444	0	0	0	0	0	0	0	0	0	0.002392901	0	0.003049466	0.001304098	0.001338997	0	0	0
ref_mOTU_v3_02194	Thermoclostridium stercorarium	0	0	0	0	0	0	0	0	0	0	0	0	0.003814161	0	0	0	0	0	0.01521901	0	0.017867162	0	0	0	0	0.004053855	0	0	0	0
ref_mOTU_v3_01806	Hungateiclostridium thermocellum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010264287	0	0	0	0.01318087	0	0	0.000472783	0	0	0	0	0	0	0	0.002306754	0
ref_mOTU_v3_11093	Ruminiclostridium cellulolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0.005784584	0	0	0	0	0.001959234	0	0	0	0	0	0	0.002233158	0	0	0	0.000697289	0.003554311
ref_mOTU_v3_04058	Moorella thermoacetica	0	0	0	0	0	0	0	0	0	0	0.007903765	0	0	0	0	0.000818152	0	0	0	0	0	0	0	0	0	0.003026384	0	0.001500924	0	0.002732634
ref_mOTU_v3_07149	Gottschalkia acidurici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001411251	0	0.001856048	0	0	0	0	0	0.001004236	0.003973373	0	0	0
ref_mOTU_v3_04354	Clostridium baratii	0.013355537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004210932	0.000361348	0	0	0	0.00411596	0.003738574	0	0	0	0.001859424	0	0.000208014	0.001683352	0.00137729
ref_mOTU_v3_11932	Desulfosporosinus orientis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00077833	0	0	0	0	0	0.002229396	0.003324347	0.009706396
ref_mOTU_v3_11808	Desulfotomaculum ruminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002252333	0.000749663	0.006856258	0	0
ref_mOTU_v3_06425	Desulfotomaculum nigrificans	0	0	0	0	0	0	0	0.005550789	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008571149	0	0	0	0.002037929	0	0.001881032	0	0
ref_mOTU_v3_03347	Lactobacillus acidophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000215374	0	0.001578644
ref_mOTU_v3_00254	Weissella confusa	0	0	0	0	0	0	0	0	0	0	0	0.01625971	0	0	0	0.020989069	0	0	0	0	0	0	0	0	0.002860394	0	0	0	0	0
ref_mOTU_v3_04372	Lactobacillus acetotolerans	0	0	0	0	0	0	0	0	0	0	0	0.004124475	0	0	0	0	0	0	0	0	0	0	0.000449654	0.01346137	0	0.002404249	0	0.001949416	0.000858232	0
ref_mOTU_v3_05079	Weissella viridescens	0	0	0	0	0	0	0	0.034471616	0	0	0	0	0	0	0	0	0	0	0	0.006842619	0	0	0	0.001205362	0	0	0.002742707	0	0.006519082	0
ref_mOTU_v3_00716	Listeria ivanovii	0	0	0	0	0	0	0	0.00934852	0	0.006367071	0	0	0	0	0.006335345	0	0	0	0	0	0	0.001049555	0	0.015354662	0.004103843	0	0.00309311	0	0	0
ref_mOTU_v3_00712	Listeria monocytogenes	0	0	0	0	0	0	0	0	0	2.63E-05	0	0	0	0	0.000208533	0	0	0	0	0	0	0	0	4.46E-05	1.22E-05	0	0	0	0	0
ref_mOTU_v3_00715	Listeria seeligeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007781542	0	0	0	0	0	0	0	0	0.000473165	0	0	0	0	0	0.001312742	0
ref_mOTU_v3_03736	Listeria grayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004716568	0.015544878	0	0.003074852	0.000533642	0	0.004455649	0	0.001891509	0.00039623	0
ref_mOTU_v3_00714	Listeria welshimeri	0	0	0	0	0	0	0	0	0	0	0.002379867	0	0	0	0.022756356	0	0	0	0	0	0	0	0	0	0	0.004852783	0	0.001954133	0.000655798	0
ref_mOTU_v3_10826	Renibacterium salmoninarum	0	0	0	0.008487503	0	0	0	0	0	0	0	0	0	0	0	0.003357341	0	0	0	0	0	0.001736933	0	0.000681291	0	0	0.000796894	0.001688992	0.001076229	0
ref_mOTU_v3_02243	Erysipelothrix rhusiopathiae	0	0	0	0	0	0	0	0	0	0	0	0.018101104	0	0	0	0	0	0	0	0	0	0	0	0	0.000191192	0	0	0	0	0
ref_mOTU_v3_02018	Actinomyces naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02E-05
ref_mOTU_v3_04441	Trueperella pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00096187	0	0	0.004545046	0	0	0	0.003339575	0
ref_mOTU_v3_04326	Bifidobacterium angulatum	0	0	0	0	0	0	0	0.016600614	0	0	0	0	0	0.0080331	0	0	0	0	0.001015828	0	0.004694878	0	0	0	0	0.001791312	0.004430772	0	0.000201616	0
ref_mOTU_v3_02671	Bifidobacterium asteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006922226	0	0	0	0	0	0	0	0.013470416	0	0	0.002184461	0.00057304	0	0.000465302	0
ref_mOTU_v3_05234	Corynebacterium ammoniagenes	0	0	0	0	0	0	0.003775932	0	0	0	0.00737199	0.001627011	0	0	0	0	0	0.00904787	0	0.006408524	0	0	0.003726597	0.001630356	0	0.001845709	0.000800183	0.001175657	0	0.000530308
ref_mOTU_v3_05248	Corynebacterium stationis	0	0	0	0	0	0	0	0	0	0	0.001376582	0	0	0	0	0	0	0	0.07333312	0	0	0	0	0	0	0	0	0	0.000902886	0.002042147
ref_mOTU_v3_11589	Cellulomonas fimi	0	0	0	0	0	0	0	0	0.017860328	0	0	0	0	0	0	0	0	0	0.000189871	0	0	0.002319941	0	0.015752133	0	0	0.001017032	0.00254022	0	0.003714686
ref_mOTU_v3_11222	Cellulomonas flavigena	0	0.018634635	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003470938	0	0	0	0	0	0	0.001580067	0	0	0.003528455	0	0.001518674	0.003290967	0
ref_mOTU_v3_00823	Corynebacterium pseudotuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000813931	0	0	0.001987746	0	0.001338023	0	0	0.001559034	0.001283099	0.00951496	0	0.000445743
ref_mOTU_v3_02197	Corynebacterium callunae	0	0	0	0	0	0	0	0	0	0	0	0.008128906	0	0	0	0.006022941	0	0	0	0	0.002426259	0	0	0	0	0.003796214	0	0	0.000888743	0.002358343
ref_mOTU_v3_09177	Corynebacterium renale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001392393	0	0	0	0	0	0	0.001795567	0.002871166	0	0	0.001516186
ref_mOTU_v3_03313	Corynebacterium xerosis	0	0	0	0	0	0	0	0	0	0	0	0	0.00991962	0	0	0	0	0	0	0	0	0.024343177	0.003434641	0	0.00286784	0.00203993	0.001224771	0.00217761	0	0.000654518
ref_mOTU_v3_01963	Acidipropionibacterium acidipropionici	0	0	0	0	0	0	0	0	0.010378591	0	0	0.005092636	0	0	0	0	0	0	0	0	0	0	0	0.002190597	0	0.002271255	0	0	0.00140355	0
ref_mOTU_v3_03952	Mycobacterium kansasii	0	0	0	0	0	0	0	0	0.012506838	0	0	0	0	0	0	0	0	0	0	0.003772716	0	0	0	0	0	0.00188635	0.001326675	0.000161157	0.000187079	0
ref_mOTU_v3_03926	Mycobacterium leprae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004051565	0.002259726	0	0	0	0	0.02194448	0.005290978	0.00343786	0	0	0.002579304	0
ref_mOTU_v3_03483	Mycobacterium simiae	0	0	0	0	0	0	0	0	0	0	0	0.001389187	0	0	0	0.00336451	0	0.007109291	0	0	0	0	0	0	0.002674687	0.000684316	0	0	0	0.000930746
ref_mOTU_v3_01919	Mycobacterium xenopi	0	0	0	0	0	0	0	0	0	0	0	0	0.004262641	0.018530862	0.008929721	0	0	0	0	0	0	0	0	0	0.003613666	0.002894489	0	0.000462008	0	0.003742991
ref_mOTU_v3_03106	Nocardia otitidiscaviarum	0	0	0	0	0	0	0	0.026271192	0	0	0	0	0	0	0	0	0	0	0.014669585	0.065619725	0	0.000418977	0	0	0.003590774	0.001511998	0	0	0	0
ref_mOTU_v3_06280	Saccharopolyspora erythraea	0	0	0	0	0	0	0.212827807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007271257	0	0.00297035	0	0	0.000832019
ref_mOTU_v3_05919	Saccharomonospora viridis	0	0	0	0	0.018697588	0	0	0	0.01275435	0	0	0	0	0	0	0	0.002772613	0	0	0.027203109	0	0.001504429	0	0	0.005835096	0	0.001359051	0.00247522	0	0.003663062
ref_mOTU_v3_06825	Dermatophilus congolensis	0	0	0	0	0	0	0	0	0	0	0.012217999	0	0	0	0.008257312	0	0	0	0.000697235	0	0.003858562	0	0	0	0	0.001743487	0.001026482	0.003341225	0.002795975	0
ref_mOTU_v3_11372	Actinoplanes missouriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002144159	0	0.005608691	0	0	0.002081107	0	0.003647243	0	0
ref_mOTU_v3_00606	Streptomyces ambofaciens	0	0.050545437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001529835	0	0	0	0	0	0.003526041	0	0	0.001011938	0.00232607	0	0.00074448	0
ref_mOTU_v3_05992	Streptomyces clavuligerus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013266842	0	0	0	0	0.004464282	0	0	0	0.00080928	0	0.003175235
ref_mOTU_v3_00662	Streptomyces glaucescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005985152	0	0	0	0	0	0	0	0.003460072	0.003409708	0.001230763	0	0
ref_mOTU_v3_00685	Streptomyces lincolnensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001964212	0	0	0	0.001573735	0.003508283	0	0.001788627	0	0	0	0	0.000278347	0.001162852	0.003207769
ref_mOTU_v3_02863	Thermobifida fusca	0	0	0	0	0	0	0	0	0	0	0	0	0.001707735	0	0	0	0.002590393	0	0	0	0.001426342	0	0	0	0.005365473	0.00041971	0	0	0	0.001135802
ref_mOTU_v3_03908	Tropheryma whipplei	0	0	0	0	0	0.013870089	0	0	0	0	0	0	0	0.003327239	0	0	0	0	0	0	0.004786393	0.003503922	0	0	0.002027587	0	0.000918078	0.002839085	0	0
ref_mOTU_v3_11413	Gordonia bronchialis	0	0	0	0	0	0	0	0	0	0	0	0	0.002606886	0	0	0	0	0	0	0	0	0	0	0	0.002876028	0.000753479	0	0	0.00137427	0
ref_mOTU_v3_11391	Tsukamurella paurometabola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000508605	0.00319401	0	0.004868008	0	0.001973656	0	0	0.000344666	0
ref_mOTU_v3_03898	Mycoplasma putrefaciens	0	0.108589131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017046412	0.001562887	0.00570281	0	0	0	0.004198462	0	0	0.001054578	0.004298897	0.000314069	0	0.000978367
ref_mOTU_v3_06130	Ureaplasma urealyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006637258	0	0	0	0	0	0	0	0.000950959	0	0.004053479	0.001319832	0.000590333	0.002006934
ref_mOTU_v3_06063	Acholeplasma laidlawii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004510157	0	0.040104679	0	0	0	0	0	0.003525415	0	0.000593409	0	0	0.000351848	0.00067632	0.000930917	0
ref_mOTU_v3_04280	Mesoplasma florum	0	0	0	0	0	0	0	0	0	0	0.012934501	0	0	0	0	0	0	0.003103973	0	0	0	0	0.009860573	0.005902204	0	0	0	0	0.001421891	0
ref_mOTU_v3_10724	Thermoanaerobacter kivui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007349758	0	0.001076757	0.002044966	0	0.001178709	0.00114438	0.003063602	0	0	0.002598769
ref_mOTU_v3_11525	Halanaerobium praevalens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008979443	0	0	0.001211695	0	0.004359036	0.000648562	0.003486617	0	0.000229063
ref_mOTU_v3_11904	Haliscomenobacter hydrossis	0	0.036161782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007911068	0	0	0	0.003139793	0	0.002994985	0	0	0.001263946	0.001757714	0	0
ref_mOTU_v3_11845	Flexistipes sinusarabici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001415434	0	0	0.005194542	0	0.002405365	0.001261816	0.006795499	0	0.002546686
ref_mOTU_v3_11825	Desulfomonile tiedjei	0	0	0	0	0	0	0	0	0	0	0	0	0.020998713	0	0	0.009116632	0	0	0	0	0	0	0	0	0.001181301	0.000467768	0	0.001830716	0.000594048	0
ref_mOTU_v3_03154	Xylella fastidiosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007207	0	0	0	0	0	0	0	0	0	0.001723822	0.004987169	0
ref_mOTU_v3_02798	Thermosipho africanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017859652	0.001180113	0	0.009550371	0	0	0	0	0	0	0	0	0.000440894	0.002201891	0.003914989	0
ref_mOTU_v3_06249	Roseobacter denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017840887	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006096249	0.002729842
ref_mOTU_v3_06128	Cardiobacterium hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001422778	0	0	0	0	0	0	0	0	0.017504209	0.000446386	0	0	0.001731383	0.001934846
ref_mOTU_v3_11566	Hirschia baltica	0	0	0	0	0	0	0	0.005145524	0	0	0	0.007128536	0	0	0	0.002098666	0	0	0	0	0.001863059	0	0	0	0	0.0003969	0	0.001298589	0	0.007782407
ref_mOTU_v3_10838	Symbiobacterium thermophilum	0	0	0	0.036722213	0	0	0	0	0	0.002806565	0	0.004677685	0	0	0	0	0	0	0	0	0	0	0.000358334	0	0	0.000743011	0	0.0067626	0.000924829	0.00205694
ref_mOTU_v3_06132	Halomonas elongata	0	0	0	0	0	0.01269797	0	0	0	0	0	0	0.017909954	0	0.015255444	0	0.001868831	0	0	0	0	0	0.013107794	0	0	0.000463192	0	0	0.000332763	0
ref_mOTU_v3_04484	Carnobacterium divergens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010444032	0.011544398	0	0.007247163	0	0.002410148	0	0.004021165	0	0.002847966	0.000542537	0.01626056	0
ref_mOTU_v3_01748	Carnobacterium maltaromaticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003544949	0	0.001300857	0	0	0	0	0	0	0.004557316	0	0	0.000507632
ref_mOTU_v3_02157	Brochothrix thermosphacta	0	0	0	0	0	0	0	0	0	0.021147597	0.001705348	0	0	0	0	0	0	0	0	0	0.002087234	0	0.002909583	0	0	0.010787225	0.000795005	0.000397341	0.003176161	0
ref_mOTU_v3_01303	Bifidobacterium animalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001339374	0.000601187	0.008859096	0	0.001490659	0.004165911	0	0	0	0	0	0	0	0.000416071	0
ref_mOTU_v3_10993	Acidothermus cellulolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017023366	0	0	0	0	0	0	0	0	0	0	0	0.001033709	0.008800163	0	0.000901111
ref_mOTU_v3_03410	Legionella anisa	0	0	0	0	0	0	0	0	0	0.009033722	0	0	0	0	0.007246331	0	0	0	0	0.005632221	0	0.006922627	0	0.026678482	0.004259657	0	0.000553935	0.000330424	0.001585899	0
ref_mOTU_v3_02291	Legionella cherrii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009504622	0	0	0	0	0.007840826	0	0	0	0.005592047	0.001183347	0.004025717
ref_mOTU_v3_04306	Legionella cincinnatiensis	0	0	0	0	0	0	0	0	2.46E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ref_mOTU_v3_04305	Legionella sainthelensi	0	0	0	0	0	0	0	0	0.01436729	0	0	0	0	0	0	0	0	0.002488572	0	0	0.00136702	0	0	0	0.003292681	0.001080318	0.000394133	0.00164979	0	0
ref_mOTU_v3_01409	Neisseria weaveri	0	0	0	0	0	0	0	0	0	0	0	0	0.006855459	0	0	0	0	0	0.00120863	0.006206075	0	0	0	0	0	0	0.002867769	0	0	0.001493553
ref_mOTU_v3_04027	Tannerella forsythia	0	0	0	0	0	0	0	0	0	0.015742383	0	0	0.007466702	0	0	0	0	0	0.010400942	0	0	0	0	0.001681061	0.003419987	0.000768367	0	0.002004354	0	0.000777307
ref_mOTU_v3_02384	Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	0.00584396	0	0	0	0	0	0	0.010469486	0	0	0	0	0	0	0	0	0	0	0.003218699	0	0	0.004628
ref_mOTU_v3_02391	Prevotella denticola	0	0	0	0	0	0	0.01122247	0	0	0	0	0.00203669	0	0	0	0	0	0	0	0	0	0	0.000741652	0	0.004834969	0	0	0.000941319	0.001026696	0
ref_mOTU_v3_02392	Prevotella intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004345613	0	0	0	0	0	0	0.002100448	0	0	0	0	0	0	0
ref_mOTU_v3_02795	Prevotella melaninogenica [Prevotella sp. ICM33/Prevotella melaninogenica]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-05	0	0	0	0	0	0
ref_mOTU_v3_01094	Yersinia kristensenii	0.030458521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005063467	0	0	0.006203272	0	0	0	0	0.002886247	0	0	0	0	0
ref_mOTU_v3_03509	Vibrio nigripulchritudo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000724859	0.000596623	0.000961602	0	0
