clade_name	S_Normal_025_008M_MPA4	S_Normal_025_17M_MPA4	S_Normal_025_34M_MPA4	S_Normal_025_068M_MPA4	S_Normal_025_102M_MPA4	S_Normal_050_008M_MPA4	S_Normal_050_17M_MPA4	S_Normal_050_34M_MPA4	S_Normal_050_068M_MPA4	S_Normal_050_102M_MPA4	S_Normal_100_008M_MPA4	S_Normal_100_17M_MPA4	S_Normal_100_34M_MPA4	S_Normal_100_068M_MPA4	S_Normal_100_102M_MPA4	S_Normal_150_008M_MPA4	S_Normal_150_17M_MPA4	S_Normal_150_34M_MPA4	S_Normal_150_068M_MPA4	S_Normal_150_102M_MPA4	S_Normal_200_008M_MPA4	S_Normal_200_17M_MPA4	S_Normal_200_34M_MPA4	S_Normal_200_068M_MPA4	S_Normal_200_102M_MPA4	S_Normal_400_008M_MPA4	S_Normal_400_17M_MPA4	S_Normal_400_34M_MPA4	S_Normal_400_068M_MPA4	S_Normal_400_102M_MPA4
s__Advenella_kashmirensis	0	0	0	0	0	0	0.0128994	0	0	0	0	0	0	0	0	0	0	0	0	0.0005853	0	0	0	0	0	0	0.0029181	0.0016893	0	0
s__Advenella_mimigardefordensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215768	0	0	0	0.0009312	0	0	0	0.0006189	0.0003176	0	0	0.003558
s__Aequorivita_sublithincola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027415	0	0	0.0085739	0	0	0	0	0	0	0	0	0.0060269	0	0.000506	0
s__Aerococcus_christensenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225284	0	0	0	0.0056886	0	0	0.0395685	0	0	0	0.0012778	0.0024002	0	0	0.0029114
s__Aerococcus_urinaehominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121186	0	0	0.0008156	0.0024762	0	0	0	0	0	0.0011782	0	0.0023985	0	0	0	0
s__Aggregatibacter_actinomycetemcomitans	0	0	0	0	0	0	0.0679097	0	0	0	0	0	0	0	0	0.0128265	0	0	0	0	0	0	0	0	0	0.0033173	0	0	0.0009929	0
s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010113	0	0	0.0008732
s__Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029553	0	0	0	0	0.0061736	0	0	0
s__Agromyces_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057514	0	0	0.0074955	0	0.0066967	0.0053958	0	0	0	0.0015319
s__Akkermansia_glycaniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006971	0.0006972	0	0	0
s__Alicyclobacillus_acidocaldarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008525	0	0	0	0	0	0	0	0	0	0	0.0030118	0	0
s__Aliivibrio_fischeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042676	0	0	0	0.0052274	0	0	0.0015532	0	0	0.0002625	0	0	0	0.0018602	0	0
s__Alkalilimnicola_ehrlichii	0	0	0	0	0	0.0071166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175411	0	0.0025723	0.0011985	0.0100887	0.0022263	0.0007483	0	0.0036608
s__Allochromatium_vinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016968	0	0.061624	0	0	0.0041804	0	0	0	0	0	0
s__Allofrancisella_guangzhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380038	0	0.003356	0	0	0.0081891	0	0	0	0	0	0.0003575	0	0.0011293	0.0008645	0.0002269
s__Altererythrobacter_epoxidivorans	0	0	0	0	0	0	0	0	0	0.0092137	0.0027625	0	0	0	0	0	0	0	0	0.0018868	0.0041976	0	0	0	0	0	0	0.006685	0.000588	0
s__Alteromonas_mediterranea	0	0.0107196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0086378	0	0	0	0	0	0	0.0043443	0.000244	0	0
s__Ammonifex_degensii	0	0	0	0	0	0	0	0.0338174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155341	0	0	0.024919	0	0	0
s__Amycolatopsis_mediterranei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036242	0	0	0	0	0.0014598	0.0002915	0.0030662	0	0	0	0	0	0.001037	0
s__Anaerobacillus_isosaccharinicus	0	0	0	0.0282898	0	0	0	0	0	0	0	0	0.0317804	0	0	0	0	0.0039414	0	0.004716	0	0	0	0	0	0.0004885	0.0063201	0.0014418	0	0.0017245
s__Anaerococcus_prevotii	0	0	0	0.011254	0	0	0	0	0	0	0	0	0	0	0	0	0.0041578	0	0	0	0	0	0.0040451	0	0	0.001361	0	0.0012211	0	0
s__Anaerolinea_thermophila	0	0	0	0	0	0	0	0	0	0	0	0.0225619	0	0	0	0	0	0	0	0.0018104	0	0	0	0	0	0	0	0	0	0.0016637
s__Anaplasma_marginale	0	0	0	0	0	0.0085604	0	0	0	0.0225434	0	0	0.007247	0	0	0	0.0013474	0.0055991	0.0023549	0	0	0	0.003111	0	0	0	0.0021671	0.003526	0.0007968	0
s__Anaplasma_phagocytophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008703	0	0	0	0	0	0	0	0.0089589	0	0	0.0064497	0
s__Aquifex_aeolicus	0	0	0.0037136	0	0	0	0	0	0	0	0	0.0103907	0	0	0	0	0	0	0	0	0	0	0	0	0.0060421	0.0019922	0.0005478	0	0	0.0012231
s__Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102899	0	0	0	0	0	0	0	0	0	0	0	0.0009705	0.0029396	0	0	0
s__Archangium_gephyra	0	0	0	0	0	0	0	0	0	0	0	0.0034994	0	0.0010018	0	0	0	0	0	0	0.0013385	0.0053408	0	0	0	0	0	0.0035196	0	0.0053183
s__Arcobacter_nitrofigilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057144	0	0	0	0	0	0	0	0.0002286
s__Aromatoleum_aromaticum	0	0	0	0	0	0	0	0.0279781	0	0	0	0.0024755	0	0	0	0	0	0	0.0191188	0	0	0	0	0	0	0	0	0.0010006	0.004621	0
s__Asticcacaulis_excentricus	0	0	0	0	0	0	0	0	0	0	0.0031702	0	0.009883	0	0	0	0.0217425	0	0	0.0033385	0	0	0.0087383	0.0107366	0	0	0.0031464	0	0.0010651	0
s__Austwickia_chelonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035029	0	0	0	0	0	0	0.0024701	0.0013772	0
s__Avibacterium_paragallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053455	0	0	0	0	0.0011317	0	0.0009021	0.0035848	0	0.000856	0
s__Azoarcus_olearius	0	0	0.0107069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045765	0	0	0	0	0	0	0.0021424	0.0026472	0.0012133	0.0002147	0	0
