clade_name	S_Normal_025_008M_MPA4	S_Normal_025_17M_MPA4	S_Normal_025_34M_MPA4	S_Normal_025_068M_MPA4	S_Normal_025_102M_MPA4	S_Normal_050_008M_MPA4	S_Normal_050_17M_MPA4	S_Normal_050_34M_MPA4	S_Normal_050_068M_MPA4	S_Normal_050_102M_MPA4	S_Normal_100_008M_MPA4	S_Normal_100_17M_MPA4	S_Normal_100_34M_MPA4	S_Normal_100_068M_MPA4	S_Normal_100_102M_MPA4	S_Normal_150_008M_MPA4	S_Normal_150_17M_MPA4	S_Normal_150_34M_MPA4	S_Normal_150_068M_MPA4	S_Normal_150_102M_MPA4	S_Normal_200_008M_MPA4	S_Normal_200_17M_MPA4	S_Normal_200_34M_MPA4	S_Normal_200_068M_MPA4	S_Normal_200_102M_MPA4	S_Normal_400_008M_MPA4	S_Normal_400_17M_MPA4	S_Normal_400_34M_MPA4	S_Normal_400_068M_MPA4	S_Normal_400_102M_MPA4
s__Brevundimonas_subvibrioides	0	0	0	0	0	0	0	0	0	0	0.0033486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068627	0	0	0.0020975	0
s__Brochothrix_thermosphacta	0	0	0	0	0	0	0	0	0	0.023249	0.0014957	0	0	0	0	0	0	0	0	0	0.0019427	0	0.0033169	0	0	0.0109133	0.0007046	0.0004342	0.0030102	0
s__Buttiauxella_agrestis	0	0	0	0	0	0	0.0249329	0	0	0	0	0.009731	0	0	0	0	0	0	0	0	0	0	0	0	0.000799	0.0003968	0.0013567	0	0	0.0019697
s__Butyrivibrio_proteoclasticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478026	0	0	0	0	0.0007514	0	0	0	0	0	0	0	0	0	0.0014464	0
s__Caldanaerobacter_subterraneus	0	0	0	0	0	0	0	0	0	0.0011721	0.0094555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015317
s__Caldicellulosiruptor_hydrothermalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082866	0	0	0	0.0015662	0	0	0.0040079	0	0	0	0	0.0035233	0.0035428	0	0
s__Caldicellulosiruptor_obsidiansis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120631	0.0002934	0	0.0012796	0.0002092
s__Caldicellulosiruptor_owensensis	0	0	0	0	0	0	0	0	0	0	0	0.0005466	0	0	0	0	0	0	0	0	0	0	0	0.0092934	0	0.0001868	0.0019991	0.0090984	0.001834	0.0002871
s__Caldilinea_aerophila	0	0	0	0	0	0	0	0	0	0	0.0024996	0	0.0351156	0	0	0	0	0	0	0	0.0412861	0.0005293	0	0	0	0	0.0032233	0	0	0
s__Caldimicrobium_thiodismutans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0167756	0	0.0028647	0	0	0.0019078	0.0013582	0	0	0	0	0.0010463	0	0
s__Calditerrivibrio_nitroreducens	0.048666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005657	0.0012438	0	0.0010631	0	0.0008685	0	0.0016294	0	0	0	0.0010893	0.0001369	0	0
s__Caldithrix_abyssi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032012	0	0	0.0029557	0	0.0027603	0.0089067	0.0015377	0	0	0.0033851	0
s__Caloranaerobacter_azorensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117967	0	0	0	0	0	0	0	0	0	0	0.0006686	0	0.000949	0.0005358	0
s__Caminibacter_mediatlanticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010889	0	0	0	0	0	0	0	0.0048782	0	0.0006915	0	0	0
s__Campylobacter_fetus	0	0	0	0	0	0	0	0	0	0	0.0039526	0	0	0	0	0	0	0	0.006464	0	0.0007275	0	0.0033686	0	0	0.0006202	0.0015896	0	0	0
s__Campylobacter_iguaniorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013076	0	0	0	0	0	0	0	0	0	0	0	0.0015963	0.0005446	0	0.0005429
s__Campylobacter_lanienae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022003	0	0	0.0031963	0	0	0	0	0	0	0	0.0025945
s__Capnocytophaga_canimorsus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021802	0	0	0	0.0018685	0	0	0	0	0	0	0	0	0	0	0.0046075	0
s__Capnocytophaga_cynodegmi	0	0	0	0	0	0.0081748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005182	0	0	0.0193575	0	0.0001916	0.0003175	0	0
s__Capnocytophaga_gingivalis	0.0183544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028142	0	0	0	0	0	0	0.0140108	0	0	0	0.0043396	0	0.0009359	0
s__Capnocytophaga_haemolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019592	0	0.0015177	0	0	0	0.0012311	0	0	0	0.0013069
s__Capnocytophaga_sputigena	0	0	0	0	0.0045178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017351	0	0.0023606	0	0	0	0.0045806	0.0030605	0.0015124	0	0
s__Cardiobacterium_hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014085	0	0	0	0	0	0	0	0	0.018552	0.0003302	0	0	0.001621	0.0019601
s__Carnobacterium_divergens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101374	0.0112737	0	0.0069124	0	0.0020924	0	0.0037323	0	0.0025142	0.000625	0.0155688	0
s__Carnobacterium_maltaromaticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033187	0	0.0012345	0	0	0	0	0	0	0.0048216	0	0	0.0005178
s__Castellaniella_defragrans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020389	0	0	0	0	0	0	0	0	0	0	0	0.0007414	0.0057933
s__Catenulispora_acidiphila	0	0	0	0	0	0.0069235	0.0158315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034868	0.0005166	0	0	0.0041879	0	0.0014475	0	0
s__Caulobacter_segnis	0	0	0	0	0	0	0	0	0	0	0.0039123	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153682	0	0.0008976	0.001493	0	0.0033609
s__Caulobacter_vibrioides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057369	0	0.0085734	0.0026663	0	0	0	0.0004685	0	0	0.0023369	0.001105
s__Celeribacter_ethanolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035186	0.000552	0	0	0	0	0	0	0	0.0007877
s__Celeribacter_indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006515	0	0	0	0	0	0	0	0	0	0.0076098	0.000944	0.0008033	0	0.0014814	0
s__Celeribacter_marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176251	0	0	0	0.0016878	0	0.033862	0	0	0	0	0	0	0.0034545	0
s__Cellulomonas_fimi	0	0	0	0	0	0	0	0	0.0181006	0	0	0	0	0	0	0	0	0	0.0002031	0	0	0.0026531	0	0.0169239	0	0	0.0015766	0.0027477	0	0.0039843
s__Cellulomonas_flavigena	0	0.0191308	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031657	0	0	0	0	0	0	0.0015196	0	0	0.0036599	0	0.0016767	0.0034129	0
s__Cellulomonas_gilvus	0	0	0	0	0	0	0	0	0	0	0.0025993	0.0035354	0	0	0.0016735	0	0	0	0	0	0.0023262	0	0	0	0	0.007227	0.0043276	0	0.0006841	0
s__Cellvibrio_japonicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0044305	0	0	0	0	0.0007922	0.0097401	0	0	0.0000921
s__Chania_multitudinisentens	0	0	0	0	0	0	0.0510026	0	0	0	0	0.0027393	0	0.0030089	0.0025986	0	0	0	0	0	0	0	0.0032278	0	0	0	0	0.0011463	0.0004293	0.0028361
s__Chitinophaga_pinensis	0	0	0	0	0	0	0	0	0	0	0.0128879	0	0.0517301	0	0	0	0	0	0	0	0	0	0	0.0046354	0	0	0.0050294	0	0.0031784	0
s__Chlamydia_muridarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242189	0.002253	0	0	0	0.0012369	0.0014577	0	0.006896	0.0021494	0	0.0019874
s__Chlamydia_suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049169	0.0004969	0	0	0	0.0029186	0
s__Chlamydia_trachomatis	0	0	0	0	0	0	0.0223029	0	0	0	0	0	0	0	0	0.0028904	0	0	0	0	0	0	0.0023421	0.0246903	0	0	0	0	0.0016658	0.0159265
s__Chloracidobacterium_thermophilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020053	0	0	0	0	0.0027592	0	0	0	0	0.0006215
s__Chlorobaculum_limnaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0216377	0	0	0	0	0.0136371	0	0.0008216	0.0106066	0	0	0	0.0024105	0.0037929	0.0010531	0
s__Chlorobium_limicola	0	0	0	0	0	0	0	0.0086512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Chloroflexus_aggregans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007193	0.0022749	0.0021126	0.0061139	0.0037288	0	0	0	0	0.0082521
s__Chloroherpeton_thalassium	0	0	0	0	0	0	0	0	0	0	0	0	0.001077	0	0	0	0	0	0	0	0	0.0007071	0	0	0.0018435	0.0027709	0.0012107	0	0	0
s__Chondromyces_crocatus	0	0	0	0	0	0	0	0	0	0	0	0	0.0088005	0.0020927	0	0	0	0	0	0	0	0	0	0	0	0	0.0005407	0	0	0
s__Christensenella_minuta	0	0	0	0	0	0	0	0	0	0	0.0279628	0	0	0	0	0	0	0	0	0.0074575	0	0	0.0133172	0	0.0009346	0	0.0002433	0.0016196	0	0
s__Chromobacterium_vaccinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014421	0.0090752	0.0039929	0
s__Chromobacterium_violaceum	0	0	0	0	0	0	0	0	0.0189674	0	0	0	0	0	0	0	0	0	0.0060728	0	0.0044391	0.00118	0	0.0179407	0	0.0031297	0.001178	0	0	0
s__Chryseobacterium_arthrosphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001266	0	0	0	0.0009467	0	0	0	0	0	0	0	0	0	0
s__Chryseobacterium_glaciei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0126855	0	0	0	0.0014907	0	0	0	0	0	0.0058093	0	0.0006135	0.0012666	0
s__Chryseobacterium_indoltheticum	0	0	0	0.0198399	0	0	0	0	0	0	0.0093307	0	0	0	0.0056896	0	0	0	0	0.002202	0	0.003601	0	0.009752	0.0002074	0.0009529	0	0	0.0007134	0
s__Chryseobacterium_joostei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010803	0	0	0.0018132	0.0029751	0.001861	0	0
s__Chryseobacterium_piperi	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127996	0	0	0	0	0	0	0	0	0	0	0	0	0.0109917	0.0007505	0	0
s__Chryseobacterium_scophthalmum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012085	0.0004253	0.0012433	0	0	0	0	0	0	0.0004405	0	0	0.0008868	0
s__Chryseobacterium_taihuense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023238	0	0	0	0.0048787	0	0.0149905	0	0	0	0.0016678	0	0	0
s__Clavibacter_michiganensis	0	0	0	0	0	0	0	0	0	0	0.0015753	0	0	0	0	0	0	0.0013141	0	0.0001614	0	0	0	0	0	0.0004184	0.0016768	0	0	0.0003302
s__Cloacibacillus_porcorum	0	0	0	0	0	0	0	0	0.0030282	0	0	0	0	0	0	0.0107875	0	0	0	0	0	0	0	0	0	0.0008722	0	0	0.0004317	0
s__Cloacibacterium_normanense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051766	0	0	0	0	0	0	0	0.0015456	0	0	0	0	0	0.0006362
s__Clostridium_baratii	0.0141309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038342	0.0005227	0	0	0	0.0044649	0.0035257	0	0	0	0.0020849	0	0.0002268	0.0017237	0.0013948
s__Clostridium_chauvoei	0	0	0	0	0	0	0	0	0	0	0.0086391	0	0.0011701	0	0	0	0	0	0	0	0.0062997	0	0	0	0.00086	0	0	0	0	0
s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102851	0	0	0	0	0	0	0	0	0	0	0	0.0028017	0	0	0.0010859	0.0008712
s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0020353	0	0	0	0.001379	0.0013119	0.0008115	0.0026183	0.0010924	0
s__Clostridium_taeniosporum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031204	0	0.0076822	0	0	0	0.0007552	0	0	0	0.0038961	0.0031417	0.0026198	0	0
s__Collimonas_pratensis	0	0	0.081107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049341	0	0	0	0	0	0	0.0017337	0	0.0031231	0.0011039	0
s__Collinsella_aerofaciens	0	0	0	0	0	0	0	0	0	0	0	0.0018849	0	0	0	0	0	0	0	0.0323501	0	0.0073128	0	0	0.0050556	0.0004942	0	0.0001558	0	0
s__Comamonas_kerstersii	0	0	0	0	0	0	0	0	0.0061183	0	0	0	0	0	0.0047203	0	0	0	0	0	0	0	0	0	0	0	0.0005177	0.0018779	0.0038461	0.0164375
s__Conexibacter_woesei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014977	0	0.0029929	0	0.0025827	0.002972	0
s__Coprothermobacter_proteolyticus	0	0	0.0874766	0	0	0	0	0	0.0334998	0	0	0	0	0	0	0	0	0	0	0.0060531	0	0	0	0	0	0	0	0.0015798	0	0
s__Coraliomargarita_akajimensis	0	0	0	0	0	0	0	0	0	0	0.0496101	0	0	0	0	0	0.0003821	0	0	0	0	0	0	0	0	0.0004879	0	0.0039457	0	0.0040748
s__Corynebacterium_ammoniagenes	0	0	0	0	0	0	0.0037137	0	0	0	0.0065617	0.0015119	0	0	0	0	0	0.0086832	0	0.0064347	0	0	0.0037823	0.001645	0	0.0015124	0.0007386	0.0013919	0	0.0005384
s__Corynebacterium_aquilae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010802	0	0	0	0	0	0	0	0	0	0.0095156	0	0.0036833	0	0.0002668	0.0006064	0.0037353
s__Corynebacterium_argentoratense	0	0	0	0	0	0	0	0.0094359	0.0182592	0	0	0.009644	0.0057538	0.006227	0	0.0016595	0	0	0	0.0005631	0	0	0.0020863	0	0	0.0016942	0	0.0036616	0.0016866	0.0013523
s__Corynebacterium_atypicum	0	0	0	0	0	0	0.0110265	0	0	0	0	0	0	0	0	0	0.0037274	0.0011733	0	0	0	0	0	0	0	0	0.0007469	0.0044121	0	0.0067778
s__Corynebacterium_aurimucosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0226972	0.0198576	0	0	0.0018766	0	0	0	0	0.0030658	0	0.0029191	0	0.0004524
s__Corynebacterium_callunae	0	0	0	0	0	0	0	0	0	0	0	0.0082481	0	0	0	0.0059007	0	0	0	0	0.0024781	0	0	0	0	0.0039914	0	0	0.0009286	0.0023558
s__Corynebacterium_camporealensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0085815	0	0	0	0	0.0017091	0	0	0.005716	0.002924	0.0020533	0	0	0.0027164	0.0020312
s__Corynebacterium_casei	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052202	0	0	0	0	0	0.001717	0	0	0	0	0	0	0	0	0.0037172	0.0027501
s__Corynebacterium_crudilactis	0	0	0	0	0	0	0	0	0	0	0.0022298	0	0.0121987	0	0	0	0	0	0	0.0514392	0	0	0	0	0	0	0	0	0	0.0022487
s__Corynebacterium_cystitidis	0	0	0	0	0	0	0	0	0	0	0.0041108	0	0	0	0	0	0	0	0	0	0	0.001268	0.0441713	0	0	0	0.0002112	0.00042	0	0
s__Corynebacterium_deserti	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136789	0	0.0022373	0	0	0	0	0	0	0	0	0	0	0.0060259	0	0.0007166	0.0013825
s__Corynebacterium_doosanense	0	0	0	0	0	0	0	0	0.0091028	0	0	0	0.0058655	0	0	0.0101998	0	0.0106239	0.0016014	0	0.0652598	0	0	0	0	0	0	0.0023632	0	0.0023317
s__Corynebacterium_efficiens	0	0	0	0	0	0	0.0112474	0	0.0466401	0	0	0.0037946	0	0	0	0	0	0.0041353	0	0	0	0	0	0	0	0.0014696	0.0011905	0	0	0
s__Corynebacterium_epidermidicanis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077037	0	0	0	0	0.0053658	0.0049214	0	0	0	0	0	0.0009434	0.0007671	0.0018061	0.0007162
s__Corynebacterium_frankenforstense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120702	0	0	0	0	0	0	0.0195521	0.0013251	0.0012766	0	0.0009914	0
s__Corynebacterium_glyciniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048341	0	0.001293	0	0	0	0	0.0005402	0	0.0339726	0	0	0.0012247	0.0015193	0.0024275	0
s__Corynebacterium_halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118836	0.0017547	0	0	0.0002933	0	0.0089413	0.0008584	0	0	0	0	0
s__Corynebacterium_humireducens	0	0	0	0	0	0	0	0	0	0	0.0013412	0	0	0	0	0	0	0.0033521	0	0	0	0	0	0	0	0.000992	0	0.000718	0.0008967	0
s__Corynebacterium_imitans	0	0	0	0	0	0	0	0	0	0	0.0010998	0	0	0	0	0.0107003	0.059945	0	0	0	0.0012802	0	0	0	0	0.0010894	0.0006529	0	0	0.0044327
s__Corynebacterium_jeikeium	0	0	0	0	0	0.0040306	0	0	0	0	0	0	0	0	0	0	0	0.0004474	0	0.0057915	0	0	0	0	0	0	0	0	0.0027642	0
s__Corynebacterium_kroppenstedtii	0	0	0.0207708	0	0	0	0	0	0	0	0	0	0	0.0082946	0.0021927	0	0	0	0	0.0103639	0	0	0	0.0027315	0	0.0043186	0.0001917	0	0	0
s__Corynebacterium_kutscheri	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029186	0	0.0093924	0	0.0021282	0	0	0	0.0008383	0.0074076	0	0	0	0.0049118	0.0041874	0.0002832	0
s__Corynebacterium_lactis	0	0	0	0	0	0	0	0	0.0350134	0	0.0028386	0	0	0	0	0	0	0	0.0011369	0	0	0	0	0.0005036	0	0	0.000449	0	0	0.0018379
s__Corynebacterium_marinum	0.0233221	0	0	0	0	0	0	0	0	0.0028593	0	0	0.0045635	0	0	0	0	0.0061836	0	0	0	0	0	0.0018711	0	0	0.0023657	0.0004527	0.0003276	0.0027653
s__Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0.0164037	0	0	0	0	0	0	0	0	0.0136439	0	0	0	0	0.0001461	0.0017115	0	0.0037244	0	0.0059598	0
s__Corynebacterium_minutissimum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029553	0	0.0041584	0	0	0	0	0	0.0020589	0	0	0
s__Corynebacterium_mustelae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002286	0	0	0	0.005242	0	0	0	0.0099894	0	0	0.0004778	0	0.0005028	0.0011941	0
s__Corynebacterium_nuruki	0	0	0	0	0	0	0	0	0	0	0	0	0.0047428	0	0	0	0	0	0	0	0.0243046	0.0114222	0	0	0	0.0023788	0.0010012	0	0	0
s__Corynebacterium_phocae	0	0.003882	0	0	0	0	0	0	0	0	0.003964	0	0	0	0	0	0.0009817	0	0	0.0029064	0	0	0	0	0	0	0	0.0017612	0	0.0010998
s__Corynebacterium_pseudotuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007981	0	0	0.0016319	0	0.0014497	0	0	0.0013836	0.0010439	0.0096275	0	0.0004747
s__Corynebacterium_renale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013943	0	0	0	0	0	0	0.002038	0.0029207	0	0	0.0015206
s__Corynebacterium_resistens	0	0	0.0235004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003549	0	0	0	0	0	0	0.0020738	0	0
s__Corynebacterium_sphenisci	0	0	0	0	0	0	0	0	0	0.0954541	0.0048405	0	0.0019848	0	0	0	0.0096921	0	0	0.0019918	0	0.0024162	0	0	0.0027325	0	0	0	0.0003266	0.0035183
s__Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0.0008505	0	0	0	0	0	0	0	0.0752907	0	0	0	0	0	0	0	0	0	0.0008219	0.0020463
s__Corynebacterium_terpenotabidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042101	0	0	0	0	0.0028584	0.0117824	0.0045983	0.0002554	0	0.0020997	0	0.0006893
s__Corynebacterium_testudinoris	0	0	0	0	0	0	0	0.0049784	0	0.007816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129862	0	0	0	0.0017206	0.0061371	0.0011711
s__Corynebacterium_ulcerans	0	0	0	0	0	0	0	0	0	0	0	0	0.0137068	0	0	0	0	0.0244101	0	0	0	0	0	0	0	0	0	0	0	0.0045224
s__Corynebacterium_urealyticum	0	0	0	0	0	0	0	0	0	0	0	0.0123876	0	0	0	0	0	0	0.0017605	0	0	0	0.0010064	0	0	0	0.0029228	0	0	0
s__Corynebacterium_uterequi	0	0	0	0	0	0	0.0023235	0	0	0	0	0	0	0	0	0	0	0	0.0035051	0.0014564	0	0	0	0.0029524	0.0080909	0	0	0	0	0
s__Corynebacterium_vitaeruminis	0	0	0.064842	0	0	0	0	0	0	0	0	0	0	0.0028634	0.0051137	0.0028	0	0	0	0	0.0054719	0.0038462	0	0	0	0.004918	0.0009044	0.0016661	0.0142176	0.0003836
s__Corynebacterium_xerosis	0	0	0	0	0	0	0	0	0	0	0	0	0.0103482	0	0	0	0	0	0	0	0	0.0252337	0.0037117	0	0.0029913	0.0017461	0.0012427	0.0022789	0	0.000614
s__Coxiella_burnetii	0	0	0	0	0	0	0	0	0	0	0	0	0.0060165	0	0	0	0	0	0	0.0013596	0	0	0.0028565	0	0	0.0063003	0.0003681	0	0.0002028	0.0024492
s__Crinalium_epipsammum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005953	0	0	0	0	0	0	0	0	0.0023165	0	0.0122319	0.0024732	0	0	0
s__Croceicoccus_marinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029859	0.0047278	0	0	0	0.0003012	0	0.0015821	0	0
s__Croceicoccus_naphthovorans	0	0	0	0	0	0	0	0	0	0	0	0.0126751	0	0	0	0	0	0	0	0	0	0.001745	0.0042179	0	0	0	0	0	0	0.0039436
s__Cronobacter_condimenti	0	0	0	0	0.0293792	0.0087105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005101	0	0.0024476	0.0003922	0	0.0005753	0.0011241
s__Cruoricaptor_ignavus	0	0	0	0	0	0	0	0.119187	0	0	0	0	0	0	0	0	0	0	0	0	0.0009253	0	0.0026096	0.0113973	0.0002329	0.0002927	0.0023185	0	0	0.003688
s__Cupriavidus_oxalaticus	0	0	0	0	0	0	0	0	0	0	0.002807	0	0	0	0	0	0	0.0015222	0	0	0	0	0	0.003078	0.0032759	0.0044076	0	0.0022091	0.00131	0.0151843
s__Cupriavidus_pinatubonensis	0	0	0	0	0	0	0	0	0.0018358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0004392	0	0	0	0.0005789	0	0.0013676
s__Cyanobium_gracile	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024283	0	0	0.0024806	0	0	0	0	0.0019483	0.0011106	0	0.0150969	0.0031796	0.0013447	0	0	0.0012676
s__Cyclobacterium_amurskyense	0	0	0	0	0	0	0.0091996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006026	0	0	0.0014892	0	0	0.0018434	0
s__Cyclobacterium_marinum	0	0	0	0	0	0	0.0038004	0	0	0	0	0	0.0083361	0	0	0	0	0.0163444	0	0.0131254	0.0039202	0	0	0	0.0013765	0	0.0028273	0	0.0025594	0.0004992
s__Cytophaga_hutchinsonii	0	0	0	0	0	0	0	0	0	0	0	0	0.008856	0	0	0	0	0	0.000911	0	0	0.0032547	0	0	0.002315	0.0019536	0.0012356	0.0017863	0.0049448	0
s__Deferribacter_desulfuricans	0	0	0	0	0	0.0016119	0	0	0	0	0.0032146	0	0	0	0	0.0045231	0	0.0066741	0	0	0	0.0038022	0	0	0	0	0.0012533	0	0	0.0004018
s__Dehalogenimonas_formicexedens	0	0	0	0	0	0	0	0	0	0	0	0	0.0032894	0	0	0	0	0.0030251	0	0.0013505	0	0	0	0	0	0	0	0	0	0
s__Dehalogenimonas_lykanthroporepellens	0	0.1026008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014682	0	0.0011517	0	0.0019562	0	0
s__Deinococcus_deserti	0	0	0	0	0	0	0	0	0	0	0	0	0.0008622	0	0	0	0	0	0	0	0	0	0	0	0.0020614	0.0010043	0.0017226	0.0025146	0.0025299	0
s__Deinococcus_ficus	0	0	0	0	0	0	0	0	0	0	0.0017922	0.0120652	0	0.0147444	0	0	0	0	0	0	0	0	0	0.0069493	0	0	0	0	0	0
s__Deinococcus_gobiensis	0	0	0	0	0	0	0	0	0	0	0	0	0.0007704	0	0	0	0	0	0	0	0	0	0	0	0.0007758	0	0.0024843	0.0005119	0	0.0002552
s__Deinococcus_proteolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005153	0	0	0	0	0	0	0	0	0	0	0	0	0.0008608	0.0020687	0.0056973
s__Deinococcus_puniceus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032179	0	0	0.0030055	0	0.000314	0.0033048	0
s__Deinococcus_radiodurans	0	0	0	0	0	0	0	0	0	0	0.001454	0	0	0	0.0127755	0	0	0	0	0	0	0	0	0.0020359	0	0	0.0007282	0.0007285	0	0
s__Deinococcus_wulumuqiensis	0	0	0	0	0	0	0	0	0	0.022465	0	0	0	0	0	0	0.0009365	0	0	0	0	0	0	0	0.0044021	0.0011984	0	0	0	0.0012856
s__Denitrobacterium_detoxificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355802	0	0	0	0	0	0	0	0	0	0	0	0.0012249	0.0011555	0	0
s__Denitrovibrio_acetiphilus	0	0	0	0	0	0	0	0	0	0	0	0.0035432	0.0061759	0	0	0	0.0055766	0.0030295	0	0	0	0	0	0.0085431	0	0.0015937	0.0031646	0	0.0025454	0
s__Dermatophilus_congolensis	0	0	0	0	0	0	0	0	0	0	0.0112501	0	0	0	0.0082532	0	0	0	0.0007035	0	0.0042555	0	0	0	0	0.0021133	0.0010795	0.0036138	0.0029152	0
s__Desmonostoc_muscorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0082907	0	0	0	0.0065453	0	0	0	0	0.0033308	0	0	0.0026746	0	0	0
s__Desulfarculus_baarsii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029079	0	0.0147269	0	0	0	0.020528	0.0012934	0	0.0016752	0	0	0	0.0012758	0.000218
