trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_1	ADA	Log_17245	ADALog_17245	M09_Log_17245	0.984377095	0.883655315	0.91875913	0.898620204	0.81283599	0.931300814
try_2	ADA	Log_17245	ADALog_17245	M09_Log_17245	0.984409806	0.887324463	0.912911227	0.897531882	0.810993862	0.933349265
try_3	ADA	Log_17245	ADALog_17245	M09_Log_17245	0.984601349	0.889536105	0.913558412	0.898931118	0.813347447	0.934657644
try_4	ADA	Log_17245	ADALog_17245	M09_Log_17245	0.984000016	0.885439917	0.903646947	0.892360045	0.801640774	0.932121837
try_0	ADA	Log_723	ADALog_723	M10_Log_723	0.984044653	0.892574961	0.90692317	0.896384711	0.809274146	0.936080611
try_1	ADA	Log_723	ADALog_723	M10_Log_723	0.983896849	0.889686422	0.907043739	0.895248339	0.807203518	0.934423018
try_2	ADA	Log_723	ADALog_723	M10_Log_723	0.983772273	0.887469679	0.907267353	0.894245572	0.805478895	0.933142892
try_3	ADA	Log_723	ADALog_723	M10_Log_723	0.984299719	0.89355958	0.908746642	0.898006765	0.812039961	0.93673732
try_4	ADA	Log_723	ADALog_723	M10_Log_723	0.98394415	0.89002458	0.908526131	0.895953747	0.808440777	0.934630834
try_0	Bayes	MinMaxScaler_17345	BayesMinMaxScaler_17345	M01_MinMaxScaler_17345	0.915517548	1	0.25469533	0.402511504	0.25469533	0.955895757
try_1	Bayes	MinMaxScaler_17345	BayesMinMaxScaler_17345	M01_MinMaxScaler_17345	0.915517548	1	0.25469533	0.402511504	0.25469533	0.955895757
try_2	Bayes	MinMaxScaler_17345	BayesMinMaxScaler_17345	M01_MinMaxScaler_17345	0.915517548	1	0.25469533	0.402511504	0.25469533	0.955895757
try_3	Bayes	MinMaxScaler_17345	BayesMinMaxScaler_17345	M01_MinMaxScaler_17345	0.915517548	1	0.25469533	0.402511504	0.25469533	0.955895757
try_4	Bayes	MinMaxScaler_17345	BayesMinMaxScaler_17345	M01_MinMaxScaler_17345	0.915517548	1	0.25469533	0.402511504	0.25469533	0.955895757
try_0	Bayes	MinMaxScaler_73465	BayesMinMaxScaler_73465	M02_MinMaxScaler_73465	0.911197678	1	0.240006865	0.379278865	0.240006865	0.953535773
