SpeciesID	sample_1
Haloferax_volcanii	0
Methanocaldococcus_A_villosus	0.0025215050448683
Geoglobus_ahangari	0
Haloferax_sp001469875	0.00322699439788415
B29-G17_sp003649145	0
Bog-38_sp003162175	0
Cuniculiplasma_divulgatum	0.00191806290455775
EX4572-44_sp002254825	0
GW2011-AR13_sp9966u	0
Methanobrevibacter_A_sp900319985	0
Methanosarcina_mazei	0.000566604085657865
Methanothrix_sp002067755	0.00116485732092574
MGIIa-L1_sp002697705	0
MGIIb-O1_sp002498725	0.00277544816328508
MGIIb-O3_sp001629255	0
MGIIb-O5_sp002501805	0
Natrarchaeobius_swarupiae	0
Saccharolobus_islandicus	0
Thermococcus_onnurineus	0.00399994621302194
UBA12382_sp002503845	0.00272094201894076
UBA7939_sp014237145	0.00192320263111607
UBA93_sp002792915	0
VYCS01_sp009843815	0.00253402390165283
Shewanella_woodyi	0
Tsukamurella_paurometabola	0
Collinsella_intestinalis	0
Stenotrophomonas_maltophilia_AJ	0
Streptococcus_infantis	0.00345584868104153
Streptococcus_sanguinis	0.000886649338359463
Afipia_broomeae	0.000826727414090034
Bifidobacterium_thermophilum	0.000865006954872017
Rhizobium_altiplani	0.0103330883720009
Thioalkalivibrio_sp000377405	0.00255366293921126
Klebsiella_variicola	0
Corynebacterium_callunae	0.00117775592915698
Dorea_formicigenerans	0.0107108033570957
Sphingobium_lucknowense	0
Mycoavidus_cysteinexigens	0.000806713973574003
Chthonomonas_calidirosea	0.00371257360646371
Phocaeicola_abscessus	0.00602953457940977
Pseudomonas_E_putida_M	0
Mesorhizobium_ciceri	0
Methylomonas_sp000515215	0
Streptococcus_anginosus_C	0.00595494510905035
Xanthobacter_sp000702385	0.0038174797155291
Youhaiella_sp000689495	0
Kitasatospora_purpeofusca	0
Sphingomonas_aerolata	0
Vibrio_mediterranei	0.00320570831088394
Serratia_grimesii	0
Cellulophaga_baltica	0
Porphyromonas_crevioricanis	0
Streptacidiphilus_jiangxiensis	0.00205375632356007
Parvimonas_micra	0
Bacillus_vallismortis	0
Frankia_coriariae	0
Oblitimonas_alkaliphila	0
Streptomyces_caelestis_A	0
Idiomarina_zobellii	0
Sphingomonas_sp001421965	0.0040664584144024
Methylobacterium_sp001423295	0
Pseudarthrobacter_sp001424565	0.000723757184713562
Microbacterium_maritypicum	0.000148395101547872
Priestia_megaterium	0
Lysobacter_enzymogenes_B	0.00192858328310882
Achromobacter_xylosoxidans	0
Burkholderia_diffusa	0
Blastomonas_delafieldii_A	0
Kocuria_turfanensis	0
Pseudomonas_citronellolis	0
Marinomonas_gallaica	0
Enterococcus_B_hirae	0
Eikenella_exigua	0
Mycobacterium_flavescens	0.00223985549470403
Mycobacterium_sp001666755	0.00291336733116939
Pseudomonas_F_otitidis	0.00242024401233017
Staphylococcus_haemolyticus	0.00870185938684599
Anaerococcus_obesiensis	0.00254218739706677
Streptococcus_sp001556435	0
Rothia_dentocariosa	0.000280939238321991
Enterococcus_B_lactis	0
Flavobacterium_crassostreae	0
Streptococcus_salivarius	0.0018309359458421
Bacillus_P_idriensis	0
Staphylococcus_lugdunensis	0.00461418258532187
Pseudonocardia_sp001420995	0.000819592104931224
Brevirhabdus_pacifica	0
