data_type	comparison	model	auroc	auroc_lower	auroc_upper	auprc	auprc_lower	auprc_upper
Abundance	CIN_vs_Ca	Boruta_RF	0.962222222222222	0.873333333333333	1	0.949225061874515	0.833270097725856	1
Coverage	CIN_vs_Ca	Boruta_RF	0.991111111111111	0.96	1	0.991916717091142	0.963535688641209	1
Abundance	Nor_vs_Ca	Boruta_RF	0.953333333333333	0.862222222222222	1	0.963734373162077	0.896782859832199	1
Coverage	Nor_vs_Ca	Boruta_RF	0.982222222222222	0.933333333333333	1	0.985582074327926	0.945827023500742	1
