SampleID	MetaPhlAn4_P	mOTUs3_P	Bracken_P	Kraken2_P	KrakenUniq_P	MAP2B_P	MetaPhlAn4_R	mOTUs3_R	Bracken_R	Kraken2_R	KrakenUniq_R	MAP2B	MetaPhlAn4_F1	mOTUs3_F1	Bracken_F	Kraken2_F	KrakenUniq_F	MAP2B	MetaPhlAn4_L2	mOTUs3_L2	Bracken_L2	Kraken2_L2	Krakenuniq_L2	MAP2B_L2	MetaPhlAn4_BC	mOTUs3_BC	Bracken_BC	Kraken2_BC	KrakenUniq_BC	MAP2B_BC
S1_500_015M	0.874747475	0.669398907	0.100906	0.190421	0.382051	1	0.864271457	0.489021956	0.333333	0.325349	0.297405	0.91018	0.869477912	0.565167243	0.15491607	0.240236082	0.33445544	0.952978253	0.96519	0.9333441	0.9232183	0.9165945	0.9040069	0.99622535	0.847236	0.4789	0.315599	0.303022	0.288099	0.978129
S1_010_030M	0.615384615	0.057142857	0.009091	0.012552	0.022727	1	0.727272727	0.181818182	0.272727	0.272727	0.272727	1	0.666666667	0.086956522	0.017595478	0.023999448	0.041957574	1	0.538299	0.395386	0.406653	0.390947	0.383504	0.9871656	0.524633	0.05266	0.109224	0.109224	0.109224	0.9881308
S1_020_030M	0.72	0.163265306	0.009313	0.022727	0.031915	1	0.857142857	0.380952381	0.380952	0.380952	0.285714	1	0.782608696	0.228571429	0.018181523	0.042894954	0.057416434	1	0.877607	0.607311	0.686341	0.639314	0.630771	0.9832361	0.847435	0.381346	0.344863	0.261354	0.231265	0.982728
S1_050_030M	0.796296296	0.304878049	0.029455	0.060241	0.115854	0.980392	0.86	0.5	0.4	0.4	0.38	1	0.826923077	0.378787879	0.054869544	0.104712096	0.177570495	0.99009893	0.9274009	0.766683	0.693853	0.717815	0.708311	0.99507228	0.866908	0.496827	0.262693	0.262055	0.250781	0.99192171
S1_100_030M	0.862745098	0.393162393	0.033881	0.059813	0.070822	0.990196	0.871287129	0.455445545	0.326733	0.316832	0.247525	1	0.866995074	0.422018349	0.061395513	0.100628828	0.110132752	0.995073852	0.9528351	0.82754	0.823961	0.8175	0.804499	0.99558052	0.9079349	0.457528	0.2586	0.257557	0.193492	0.99096297
S1_150_030M	0.894736842	0.560606061	0.038019	0.106173	0.227778	1	0.906666667	0.493333333	0.286667	0.286667	0.273333	0.993333	0.900662252	0.524822695	0.067134355	0.154955175	0.248484843	0.996655351	0.9624718	0.890467	0.856025	0.836083	0.821887	0.99621724	0.9144111	0.509938	0.325234	0.321924	0.317803	0.99149556
S1_200_030M	0.9	0.444444444	0.076923	0.151923	0.352381	1	0.9	0.48	0.395	0.395	0.37	0.995	0.9	0.461538462	0.128769248	0.219444364	0.360975635	0.997493734	0.9655875	0.88521	0.9017123	0.895321	0.883409	0.99721964	0.9076734	0.448492	0.398043	0.393288	0.374386	0.9911238
S1_250_030M	0.899193548	0.580952381	0.056328	0.132635	0.240132	1	0.892	0.488	0.308	0.304	0.292	0.992	0.895582329	0.530434783	0.095238488	0.184689913	0.26353816	0.995983936	0.9593971	0.9239267	0.863552	0.83794	0.825006	0.99544628	0.891439	0.583397	0.297562	0.286262	0.276291	0.9884068
S1_300_030M	0.9	0.612403101	0.080192	0.147416	0.269939	1	0.897009967	0.524916944	0.332226	0.322259	0.292359	0.976744	0.898502496	0.56529517	0.129198373	0.20229364	0.280702034	0.988235199	0.9729246	0.9052594	0.9037135	0.892584	0.875496	0.99345751	0.9143095	0.499544	0.359937	0.357859	0.330725	0.9882854
S1_500_030M	0.894949495	0.654731458	0.133961	0.253879	0.446809	1	0.884231537	0.510978044	0.369261	0.359281	0.335329	0.936128	0.889558233	0.573991031	0.196599405	0.297520716	0.383124244	0.967010446	0.9710937	0.9102235	0.9192773	0.9144853	0.9086162	0.99645966	0.9032691	0.489088	0.357716	0.348199	0.342141	0.9828385
S1_010_045M	0.8	0.103448276	0.000749	0.001344	0.0003745	1	0.8	0.3	0.1	0.1	0.05	1	0.8	0.153846154	0.001486863	0.002652352	0.000743432	1	0.52138	0.442336	0.540224	0.528925	0.533405	0.99259566	0.655001	0.308349	0.131716	0.131715	0.131716	0.9936369
S1_020_045M	0.772727273	0.448275862	0.011583	0.020045	0.038298	0.869565	0.85	0.65	0.45	0.45	0.45	1	0.80952381	0.530612245	0.022584671	0.038380368	0.070588452	0.930232434	0.62416	0.650361	0.603952	0.571602	0.551472	0.9867998	0.635281	0.486598	0.289315	0.267868	0.263134	0.9832911
S1_050_045M	0.824561404	0.482142857	0.016949	0.03886	0.115108	1	0.94	0.54	0.32	0.3	0.32	1	0.878504673	0.509433962	0.032192884	0.068807177	0.169312263	1	0.9576454	0.876583	0.820832	0.805014	0.790449	0.9894877	0.9475341	0.648562	0.393006	0.392902	0.393932	0.9865803
S1_100_045M	0.80733945	0.485714286	0.041081	0.086168	0.173913	1	0.871287129	0.504950495	0.376238	0.376238	0.356436	1	0.838095238	0.495145631	0.07407395	0.140221693	0.233766271	1	0.9655663	0.876204	0.846408	0.824611	0.812966	0.99751266	0.9179817	0.528463	0.356767	0.34048	0.329635	0.99560889
S1_150_045M	0.868421053	0.496774194	0.100993	0.187117	0.288557	1	0.88	0.513333333	0.406667	0.406667	0.386667	1	0.874172185	0.504918033	0.161803255	0.256302996	0.330484312	1	0.9660467	0.892754	0.819431	0.814759	0.807223	0.99708322	0.9082418	0.587176	0.439493	0.438704	0.410629	0.99294347
S1_200_045M	0.886699507	0.478873239	0.060935	0.110606	0.210526	1	0.9	0.51	0.365	0.365	0.34	1	0.893300248	0.493946731	0.104435066	0.16976737	0.260038	1	0.9703365	0.9034317	0.883423	0.874875	0.859546	0.99743803	0.9168665	0.528292	0.360206	0.359341	0.313956	0.99201337
S1_250_045M	0.884169884	0.652173913	0.078416	0.172598	0.34981	1	0.912350598	0.537848606	0.386454	0.386454	0.366534	1	0.898039216	0.589519651	0.130376995	0.238622481	0.357976778	1	0.9443261	0.9079793	0.869112	0.857416	0.849954	0.99831773	0.848368	0.507444	0.334457	0.333604	0.313699	0.99369768
S1_300_045M	0.846405229	0.56928839	0.085666	0.17069	0.355872	1	0.863333333	0.506666667	0.336667	0.33	0.333333	1	0.854785479	0.536155203	0.136579028	0.2250003	0.344233955	1	0.9611921	0.9122543	0.9051837	0.88926	0.88149	0.99698331	0.873535	0.498447	0.359085	0.334167	0.341682	0.99103673
S1_500_045M	0.917171717	0.575757576	0.116172	0.254731	0.486486	0.997996	0.906187625	0.493013972	0.351297	0.349301	0.323353	0.994012	0.911646586	0.531182796	0.174603557	0.294612845	0.388488842	0.996000016	0.9659947	0.9265019	0.9171413	0.9085041	0.9021462	0.99823898	0.883919	0.455909	0.313292	0.30792	0.299715	0.99122789
S1_010_090M	0.75	0.3	0.00385	0.013423	0.020134	0.916667	0.818181818	0.545454545	0.363636	0.363636	0.272727	1	0.782608696	0.387096774	0.00761933	0.025890304	0.037499602	0.956521921	0.9424089	0.653676	0.599338	0.57257	0.512313	0.9922861	0.9304834	0.49936	0.25879	0.25879	0.211957	0.9902857
S1_020_090M	0.818181818	0.054054054	0.005535	0.009464	0.015326	0.909091	0.9	0.5	0.15	0.15	0.2	1	0.857142857	0.097560976	0.010676054	0.017804646	0.028470319	0.952381002	0.9280647	0.587997	0.381987	0.374448	0.377972	0.99552519	0.9262897	0.243439	0.039048	0.039047	0.042872	0.99418786
S1_050_090M	0.771929825	0.25862069	0.024055	0.04142	0.077821	0.980392	0.88	0.6	0.42	0.42	0.4	1	0.822429907	0.361445783	0.045503823	0.075403754	0.130293143	0.99009893	0.9244498	0.814646	0.799056	0.7824	0.782013	0.9881169	0.877295	0.543358	0.388775	0.331892	0.359508	0.9817112
